statnm,linenm,minutes,lng,lat,within30,within60
서원,신림선,46.0,126.93305769351016,37.478223766866854,0,1
마포,서울5호선,46.0,126.94591379139105,37.53960844051463,0,1
숙대입구,서울4호선,46.0,126.97200212574523,37.545112610214495,0,1
용답,서울2호선,46.1,127.05086030254466,37.56227214988865,0,1
상왕십리,서울2호선,46.1,127.02933321473817,37.564390820548745,0,1
과천,서울4호선,46.2,126.99674146651338,37.43291738178273,0,1
시청,서울2호선,46.3,126.97576278093857,37.56376249397046,0,1
삼가,용인경전철,46.4,127.16813899810472,37.24212225387447,0,1
신금호,서울5호선,46.8,127.02045619314652,37.55448097674334,0,1
보문,서울6호선,46.8,127.01968773941685,37.58544175366165,0,1
굽은다리,서울5호선,46.9,127.14284079165738,37.545432498032284,0,1
보라매병원,신림선,47.0,126.92346980974537,37.492975380760655,0,1
광화문,서울5호선,47.1,126.9762752206268,37.5716380935469,0,1
둔촌오륜,서울9호선,47.1,127.13951062486167,37.518923227645246,0,1
중화,서울7호선,47.2,127.07936125009704,37.602285109902006,0,1
혜화,서울4호선,47.4,127.00191835595663,37.58212081591027,0,1
신도림,서울1호선,47.5,126.89142171185813,37.508943699597765,0,1
수원,분당선,47.5,127.00059566971223,37.266442680041386,0,1
영등포구청,서울5호선,47.5,126.89540693655124,37.52419188727966,0,1
서울지방병무청,신림선,47.7,126.92279671048001,37.50619800611216,0,1
공덕,서울5호선,47.7,126.9515833956623,37.54470897326544,0,1
마장,서울5호선,47.8,127.04302768358835,37.5661764289573,0,1
무악재,서울3호선,47.8,126.95021687156621,37.582615528017996,0,1
선유도,서울9호선,47.8,126.89345483013855,37.53804675795846,0,1
암사역사공원,서울8호선,48.0,127.1383368701046,37.55730179167237,0,1
신답,서울2호선,48.1,127.04706944994531,37.56984395489578,0,1
시청_용인대,용인경전철,48.1,127.1788868118724,37.239439764606566,0,1
서울대벤처타운,신림선,48.2,126.93366597352362,37.47230261081729,0,1
정부과천청사,서울4호선,48.2,126.98989918923233,37.42649426149006,0,1
행당,서울5호선,48.2,127.02949243020419,37.557350356449874,0,1
충정로,서울2호선,48.3,126.96455152782553,37.55978849820035,0,1
보라매공원,신림선,48.4,126.91835147318744,37.49484403914921,0,1
안암,서울6호선,48.4,127.02929395773253,37.5863062738596,0,1
명일,서울5호선,48.5,127.1440279234917,37.551293131001216,0,1
합정,서울2호선,48.9,126.91445817881906,37.54996227477751,0,1
가양,서울9호선급행,49.0,126.8544312699492,37.56163536897295,0,1
양평_5호선,서울5호선,49.0,126.88648056471557,37.52556503730169,0,1
먹골,서울7호선,49.1,127.07778617847123,37.610485250024645,0,1
서대문,서울5호선,49.1,126.96661225423095,37.565725362966354,0,1
효창공원앞,서울6호선,49.3,126.96134445964933,37.539278690543526,0,1
문래,서울2호선,49.4,126.8948748555422,37.518260755852666,0,1
한성대입구,서울4호선,49.4,127.00617856974323,37.58849271957477,0,1
구로,서울1호선,49.5,126.88231503887692,37.50335353704898,0,1
애오개,서울5호선,49.7,126.9566727086522,37.55341644480951,0,1
남구로,서울7호선,49.8,126.88749291679697,37.48637678986405,0,1
신설동,서울1호선,49.8,127.02450627352647,37.57600288625438,0,1
홍제,서울3호선,49.8,126.94406885541066,37.588796505512455,0,1
마장시장,동북선,49.8,127.03765703005345,37.57016697054961,0,1
명지대,용인경전철,49.9,127.19027904709888,37.238080811511885,0,1
신목동,서울9호선,49.9,126.88298686255312,37.54446978416588,0,1
여주,경강선,50.0,127.62840594382149,37.28283791250945,0,1
용두,서울2호선,50.1,127.03813603839771,37.57410031842874,0,1
고려대,서울6호선,50.1,127.0362946303764,37.590429246888824,0,1
아현,서울2호선,50.3,126.95620551114132,37.55735678864767,0,1
관악산,신림선,50.5,126.94549473876646,37.468971799089914,0,1
고덕,서울5호선,50.7,127.15418692922734,37.555035683940886,0,1
태릉입구,서울7호선,50.8,127.07534622117456,37.61854871377953,0,1
홍대입구,서울2호선,50.9,126.92388306336497,37.55690592242897,0,1
오목교,서울5호선,50.9,126.8753826483211,37.52451070152889,0,1
회기,경의중앙선,51.3,127.05817690680095,37.58969117643179,0,1
고색,수인선,51.3,126.98080027365933,37.249903391786866,0,1
성신여대입구,서울4호선,51.4,127.01697872535821,37.59292658855122,0,1
김량장,용인경전철,51.6,127.19868094829054,37.23730208644377,0,1
가산디지털단지,서울7호선,51.6,126.88248763702191,37.48040253605493,0,1
인덕원,서울4호선,51.7,126.9766831289701,37.40152443189371,0,1
제기동,동북선,51.7,127.03836834642267,37.57840510699093,0,1
이대,서울2호선,51.8,126.94590072885495,37.556748942205715,0,1
등촌,서울9호선,51.8,126.86550156090728,37.55075581457467,0,1
공릉,서울7호선,52.2,127.07301575099794,37.625608525398,0,1
녹번,서울3호선,52.3,126.93586815232014,37.60076080621573,0,1
월곡,서울6호선,52.3,127.04131336263657,37.601619462924056,0,1
구일,서울1호선,52.5,126.86981693840855,37.496242911793544,0,1
목동,서울5호선,52.7,126.86443578150646,37.526155260627085,0,1
상일동,서울5호선,52.9,127.16566050187811,37.55664771393591,0,1
마곡나루,서울9호선급행,53.0,126.82733494276691,37.566874886870906,0,1
대흥,서울6호선,53.1,126.94246069813816,37.54764706476496,0,1
운동장_송담대,용인경전철,53.1,127.20904623986837,37.23790104663041,0,1
신촌,서울2호선,53.3,126.93680339463694,37.555191688674775,0,1
장자호수공원,서울8호선,53.3,127.13794890715565,37.58767364990827,0,1
도림천,서울2호선,53.5,126.88264545062373,37.514487452876146,0,1
증미,서울9호선,53.8,126.86067178777202,37.558090125876944,0,1
오목천,수인선,53.9,126.96353008424018,37.2431000443475,0,1
길음,서울4호선,53.9,127.02515133072453,37.603424972807424,0,1
상월곡,서울6호선,53.9,127.04911570153688,37.60669614229234,0,1
철산,서울7호선,54.1,126.86799912370765,37.47612095481767,0,1
평촌,서울4호선,54.2,126.96363713357556,37.39420295110889,0,1
신정,서울5호선,54.2,126.85620191335539,37.52504354734238,0,1
하계,서울7호선,54.2,127.0680023133773,37.636465980935455,0,1
중랑,경의중앙선,54.3,127.07606632960596,37.59489448479159,0,1
불광,서울3호선,54.3,126.93035703948473,37.60997490765768,0,1
개봉,서울1호선,54.5,126.8586082355438,37.49469923953538,0,1
강일,서울5호선,54.5,127.17572136499601,37.557462846209035,0,1
고진,용인경전철,54.7,127.21418605747778,37.24465069542098,0,1
광흥창,서울6호선,55.1,126.93194527061114,37.547438145098894,0,1
정릉,우이신설경전철,55.4,127.01354292180284,37.60258107059848,0,1
돌곶이,서울6호선,55.4,127.05645378899537,37.610556027995244,0,1
화서,서울1호선,55.5,126.98959928767621,37.28397119370198,0,1
중계,서울7호선,55.9,127.06396503011925,37.645439969795156,0,1
구리,서울8호선,56.1,127.14101552908181,37.601654562313826,0,1
범계,서울4호선,56.2,126.95070808487887,37.389767760473866,0,1
연신내,서울3호선,56.3,126.92109402636089,37.61928094369407,0,1
양천향교,서울9호선,56.3,126.8420157775171,37.56805245046624,0,1
까치산,서울5호선,56.4,126.84651361784616,37.53210052233123,0,1
상수,서울6호선,56.4,126.92248528569012,37.54774106782856,0,1
망원,서울6호선,56.4,126.91026666775417,37.55586324966307,0,1
광명사거리,서울7호선,56.4,126.85492120632496,37.47923673038737,0,1
망우,경의중앙선,56.4,127.09232878145163,37.59927646084408,0,1
외대앞,서울1호선,56.4,127.06375491007906,37.59657323790454,0,1
미아사거리,서울4호선,56.4,127.03014528792202,37.61330680765331,0,1
세류,서울1호선,56.5,127.01384796955523,37.24376319925443,0,1
양천구청,서울2호선,56.5,126.86591341861687,37.512451192515734,0,1
김포공항,서울9호선급행,57.0,126.80185933329786,37.56215435260769,0,1
오류동,서울1호선,57.0,126.84479949873905,37.49446122525611,0,1
미사,서울5호선,57.3,127.19248513781459,37.56301637764626,0,1
서강대,경의중앙선,57.3,126.93523354466528,37.55233183205827,0,1
석계,서울6호선,57.4,127.06619366992827,37.61503616885079,0,1
독산,서울1호선,57.5,126.88943370369373,37.466051972080976,0,1
보평,용인경전철,57.6,127.21849922235091,37.258959448008945,0,1
북한산보국문,우이신설경전철,57.7,127.0082013037159,37.61214082533004,0,1
노원,서울7호선,57.8,127.0605472338607,37.65455907475965,0,1
화랑대,서울6호선,57.9,127.0837918934522,37.61985113066094,0,1
신이문,서울1호선,57.9,127.06746352546598,37.60198063407909,0,1
화곡,서울5호선,58.2,126.8404140019446,37.54165781085848,0,1
마포구청,서울6호선,58.2,126.90330689680026,37.56363639749388,0,1
동구릉,서울8호선,58.2,127.13794969798045,37.61238759691262,0,1
천왕,서울7호선,58.8,126.83867517110163,37.486739329577425,0,1
구파발,서울3호선,58.8,126.91881730019298,37.63639757222915,0,1
미아,서울4호선,58.9,127.02618198046385,37.62636094653018,0,1
성균관대,서울1호선,59.0,126.97111617206218,37.30031469646502,0,1
신정네거리,서울2호선,59.0,126.85291351093805,37.520192023600785,0,1
둔전,용인경전철,59.3,127.21361954461665,37.26720607366618,0,1
양원,경의중앙선,59.4,127.10814764606555,37.606641053033485,0,1
금천구청,서울1호선,59.5,126.89363501880827,37.45612399557803,0,1
금정,서울4호선,59.7,126.9433540751319,37.37265770582086,0,1
마들,서울7호선,59.8,127.05760212496052,37.66541488039195,0,1
봉화산,서울6호선,59.8,127.09175060927113,37.61714681111189,0,1
신방화,서울9호선,59.8,126.81694853560049,37.567544508753876,0,1
월드컵경기장,서울6호선,59.9,126.89906444681453,37.569592247612064,0,1
온수,서울1호선,60.0,126.82389330619179,37.49244945064322,0,1
우장산,서울5호선,60.0,126.8363169327808,37.548747315039726,0,0
솔샘,우이신설경전철,60.3,127.0135610234414,37.620254464153064,0,0
하남풍산,서울5호선,60.5,127.20450605959346,37.55284549861083,0,0
병점,서울1호선,60.5,127.0331172765132,37.20719993771235,0,0
어천,수인선,60.5,126.9088706558487,37.250065721284265,0,0
수유,서울4호선,60.9,127.02571600748051,37.638098719930184,0,0
가좌,경의중앙선,61.3,126.91482473163855,37.568868297150466,0,0
서울시립과학관,동북선,61.4,127.07541392286679,37.63873933878493,0,0
월계,동북선,61.5,127.06101934969882,37.63148268624763,0,0
역촌,서울6호선,61.6,126.92290682752925,37.60628390892164,0,0
신내,서울6호선,61.7,127.10225677447028,37.61324135023202,0,0
디지털미디어시티,서울6호선,61.9,126.90129073921773,37.57604372561953,0,0
발산,서울5호선,61.9,126.83768193704763,37.55872896885388,0,0
역곡,서울1호선,62.0,126.81199512929619,37.485287986503074,0,0
공항시장,서울9호선,62.0,126.81062954435907,37.56372104289702,0,0
독바위,서울6호선,62.1,126.93305609503038,37.61838482264798,0,0
삼양사거리,우이신설경전철,62.2,127.02052830871898,37.62127586934903,0,0
수락산,서울7호선,62.2,127.05534709762767,37.67823543122186,0,0
지축,서울3호선,62.3,126.91391974545675,37.64812027107421,0,0
